CardID,CardName,CategoryID,CardType,Cost,SavingsChange,Weight,MinDay,MaxDay,IsActive,ShortText,FeedbackText,Consequence,ContextSG
FOOD_001,Cook at Home,FOOD,Meal,2,0,12,1,7,True,Cook simple meal at home,Meal prep saves money compared to eating out.,Healthy habit,Pack lunch from home
FOOD_002,School Canteen,FOOD,Meal,4,0,10,1,7,True,Grab meal at school canteen,School meals are predictable budgeting choices.,Standard choice,School canteen meal
FOOD_003,Fast Food,FOOD,Treat,7,0,8,1,7,True,Order McD or KFC,Small frequent indulgences add up fast.,Habit risk high,Fast food temptation
FOOD_004,Forgot Lunch,FOOD,Meal,6,0,6,2,7,True,Forgot lunch emergency buy,Unplanned costs show why tracking matters.,Unexpected cost,Emergency food purchase
FOOD_005,Hawker Centre,FOOD,Meal,3,0,11,1,7,True,Eat at local hawker stall,Affordable local food is budget-friendly.,Good value,Hawker food (SG culture)
FOOD_006,Friend Lunch,FOOD,SocialMeal,5,0,5,2,7,True,Lunch with friends at cafe,Social meals cost more but can build bonds.,Social spending,Lunch with peers
FOOD_007,Instant Noodles,FOOD,Snack,1,0,9,2,7,True,Quick instant noodles at home,"Ultra budget option, but not a complete meal.",Rock bottom,Home quick meal
FOOD_008,Cafe Brunch,FOOD,Treat,8,0,6,1,7,True,Brunch at trendy cafe,Trendy spots drain budget fast.,Premium option,Cafe brunch spending
FOOD_009,Bento Box,FOOD,Meal,5,0,9,1,7,True,Buy packed bento lunch,Pre-packed meals save time at moderate cost.,Convenience,Bento box lunch
FOOD_010,School Event Food,FOOD,SchoolEvent,2,0,7,3,6,True,Get food at school event,School events can reduce food spending.,Win situation,Free school meal
FOOD_011,Weekend Dessert,FOOD,Treat,4,0,5,5,7,True,Dessert or ice cream treat,Weekend treats are fine when planned.,Morale boost,Weekend treat
FOOD_012,Cooking Class Pot Luck,FOOD,SocialMeal,3,0,4,4,7,True,Contribute to class potluck,Sharing food builds community at a fair cost.,Social good,Potluck contribution
FOOD_013,Bring Water Bottle,FOOD,Generic,0,0,7,1,7,True,Refill your bottle instead of buying drinks,Small avoided purchases protect your budget.,Good habit,Bring water bottle
TRAN_001,Take Bus,TRANSPORT,Commute,2,0,12,1,7,True,Take the bus,Consistent transport is predictable budgeting.,Daily reliable,Public bus commute
TRAN_002,Walk If Possible,TRANSPORT,Commute,0,0,7,1,7,True,Walk if the distance is manageable,Walking saves transport money but takes time.,Physical effort,Walking as alternative
TRAN_003,Top-Up EZ-Link,TRANSPORT,Generic,10,0,5,2,7,True,Top-up EZ-Link card,Travel card top-ups are fixed costs to plan.,Necessary expense,EZ-Link card top-up
TRAN_004,Grab Ride,TRANSPORT,EmergencyTravel,12,0,4,3,7,True,Book a Grab because you are late,Fast rides are premium. Plan ahead where possible.,High urgency cost,GrabCar premium
TRAN_005,Bike or Skate,TRANSPORT,Commute,0,0,6,1,7,True,Bike or skate to destination,Active transport saves money when suitable.,Eco smart,Bike commute
TRAN_006,MRT Journey,TRANSPORT,LongTrip,3,0,10,1,7,True,Take MRT for longer trip,MRT is reliable for longer distances.,Good coverage,MRT train ride
TRAN_007,School Bus,TRANSPORT,LongTrip,1,0,8,1,7,True,Use school-provided bus,School provided transport saves cash.,School perk,Free school bus
TRAN_008,Unexpected Taxi,TRANSPORT,EmergencyTravel,15,0,3,4,7,True,Emergency taxi fare needed,Unexpected transport costs hit hard.,Emergency expense,Taxi emergency
TRAN_009,Carpool with Friends,TRANSPORT,WeekendTravel,2,0,8,2,7,True,Split car ride with friends,Shared rides reduce cost for everyone.,Smart split,Carpool sharing
TRAN_010,Parking Charge,TRANSPORT,Errand,5,0,3,3,7,True,Unexpected parking cost,Hidden transport costs can surprise your budget.,Surprise cost,Parking fee
TRAN_011,Motorcycle Ride,TRANSPORT,EmergencyTravel,3,0,5,2,7,True,Take a quick motorcycle ride,"Cheap and quick, but consider safety and context.",Budget risky,Motorcycle taxi
TRAN_012,Public Holiday Free Travel,TRANSPORT,WeekendTravel,0,2,4,5,7,True,Free public travel today bonus,Special travel deals can help your budget.,Lucky day,Holiday bonus travel
